ZCTA,TotalPopulation,Population_25to34Years,Population_55to59Years,Population_45to54Years,25to34Years (%),55to59Years (%),45to54Years (%)
ZCTA5 36738,718,38,55,183,5.3,7.7,25.5
ZCTA5 36740,1276,120,15,264,9.4,1.2,20.7
ZCTA5 36742,1921,205,215,312,10.7,11.2,16.2
ZCTA5 36744,6294,627,427,618,10.0,6.8,9.8
ZCTA5 36748,2419,230,163,318,9.5,6.7,13.1
ZCTA5 36749,949,50,62,216,5.3,6.5,22.8
ZCTA5 36750,2622,240,205,312,9.2,7.8,11.9
ZCTA5 36751,632,25,40,114,4.0,6.3,18.0
ZCTA5 36752,1146,147,103,198,12.8,9.0,17.3
ZCTA5 36753,8,0,0,0,0.0,0.0,0.0
ZCTA5 36754,473,15,86,72,3.2,18.2,15.2
ZCTA5 36756,5867,359,373,413,6.1,6.4,7.0
ZCTA5 36758,1412,79,71,248,5.6,5.0,17.6
ZCTA5 36759,1831,139,116,227,7.6,6.3,12.4
ZCTA5 36761,787,42,63,158,5.3,8.0,20.1
ZCTA5 36763,316,30,57,39,9.5,18.0,12.3
ZCTA5 36765,1685,199,35,196,11.8,2.1,11.6
ZCTA5 36766,22,2,0,4,9.1,0.0,18.2
ZCTA5 36767,1476,104,167,147,7.0,11.3,10.0
ZCTA5 36768,900,82,43,152,9.1,4.8,16.9
ZCTA5 36769,2444,256,158,325,10.5,6.5,13.3
ZCTA5 36773,469,22,33,11,4.7,7.0,2.3
ZCTA5 36775,1025,176,127,139,17.2,12.4,13.6
ZCTA5 36776,1856,256,183,191,13.8,9.9,10.3
ZCTA5 36782,2685,306,266,295,11.4,9.9,11.0
ZCTA5 36783,686,30,45,218,4.4,6.6,31.8
ZCTA5 36784,7181,947,307,960,13.2,4.3,13.4
ZCTA5 36785,1074,43,91,219,4.0,8.5,20.4
ZCTA5 36786,2474,283,146,162,11.4,5.9,6.5
ZCTA5 36790,89,0,22,0,0.0,24.7,0.0
ZCTA5 36792,1396,255,44,0,18.3,3.2,0.0
ZCTA5 36793,279,40,27,9,14.3,9.7,3.2
ZCTA5 36801,25071,3580,1527,3364,14.3,6.1,13.4
ZCTA5 36804,18535,2436,1491,2848,13.1,8.0,15.4
ZCTA5 36830,39476,5668,1811,4092,14.4,4.6,10.4
ZCTA5 36832,24596,4512,751,1740,18.3,3.1,7.1
ZCTA5 36849,4185,24,0,0,0.6,0.0,0.0
ZCTA5 36850,2612,211,224,220,8.1,8.6,8.4
ZCTA5 36852,2744,419,129,419,15.3,4.7,15.3
ZCTA5 36853,7943,495,711,1048,6.2,9.0,13.2
ZCTA5 36854,15138,2360,826,1753,15.6,5.5,11.6
ZCTA5 36855,1638,148,205,290,9.0,12.5,17.7
ZCTA5 36856,7811,1332,207,1138,17.1,2.7,14.6
ZCTA5 36858,330,48,62,29,14.5,18.8,8.8
ZCTA5 36859,16,0,0,0,0.0,0.0,0.0
ZCTA5 36860,1728,117,105,311,6.8,6.1,18.0
ZCTA5 36861,3013,364,311,360,12.1,10.3,11.9
ZCTA5 36862,5868,530,610,830,9.0,10.4,14.1
ZCTA5 36863,11847,1058,930,1755,8.9,7.9,14.8
ZCTA5 36865,30,0,3,2,0.0,10.0,6.7
ZCTA5 36866,3581,424,375,365,11.8,10.5,10.2
ZCTA5 36867,22239,3928,1545,2792,17.7,6.9,12.6
ZCTA5 36869,20986,2697,1501,2353,12.9,7.2,11.2
ZCTA5 36870,19413,2720,1418,2961,14.0,7.3,15.3
ZCTA5 36871,1175,120,105,221,10.2,8.9,18.8
ZCTA5 36874,9973,1483,649,1148,14.9,6.5,11.5
ZCTA5 36875,3782,584,242,615,15.4,6.4,16.3
ZCTA5 36877,12848,1669,1074,1824,13.0,8.4,14.2
ZCTA5 36879,2521,216,254,322,8.6,10.1,12.8
ZCTA5 36901,369,37,27,54,10.0,7.3,14.6
ZCTA5 36904,3734,450,169,534,12.1,4.5,14.3
ZCTA5 36907,1597,118,171,132,7.4,10.7,8.3
ZCTA5 36908,2176,216,190,215,9.9,8.7,9.9
ZCTA5 36910,63,0,0,0,0.0,0.0,0.0
ZCTA5 36912,2069,220,283,376,10.6,13.7,18.2
ZCTA5 36913,36,0,10,17,0.0,27.8,47.2
ZCTA5 36915,654,50,9,64,7.6,1.4,9.8
ZCTA5 36916,797,101,71,88,12.7,8.9,11.0
ZCTA5 36919,1652,109,166,220,6.6,10.0,13.3
ZCTA5 36921,771,44,44,176,5.7,5.7,22.8
ZCTA5 36922,600,52,95,56,8.7,15.8,9.3
ZCTA5 36925,3001,365,269,439,12.2,9.0,14.6
ZCTA5 99501,16679,3484,911,2178,20.9,5.5,13.1
ZCTA5 99502,25268,4632,1688,3085,18.3,6.7,12.2
ZCTA5 99503,12804,2687,893,1664,21.0,7.0,13.0
ZCTA5 99504,42341,7700,2546,4640,18.2,6.0,11.0
ZCTA5 99505,6245,1288,20,127,20.6,0.3,2.0
ZCTA5 99506,6671,1793,96,184,26.9,1.4,2.8
ZCTA5 99507,37109,6821,2721,5140,18.4,7.3,13.9
ZCTA5 99508,36560,6156,2295,4013,16.8,6.3,11.0
ZCTA5 99510,1077,154,262,336,14.3,24.3,31.2
ZCTA5 99513,0,0,0,0,,,
ZCTA5 99515,22950,3332,1566,3325,14.5,6.8,14.5
ZCTA5 99516,20838,1712,1808,3172,8.2,8.7,15.2
ZCTA5 99517,15750,2621,1226,2045,16.6,7.8,13.0
ZCTA5 99518,10717,2249,922,1563,21.0,8.6,14.6
ZCTA5 99519,436,21,105,132,4.8,24.1,30.3
ZCTA5 99540,332,13,25,97,3.9,7.5,29.2
ZCTA5 99546,226,43,11,51,19.0,4.9,22.6
ZCTA5 99547,43,8,3,4,18.6,7.0,9.3
ZCTA5 99548,49,4,13,12,8.2,26.5,24.5
ZCTA5 99549,88,13,6,6,14.8,6.8,6.8
ZCTA5 99550,178,20,17,31,11.2,9.6,17.4
ZCTA5 99551,573,80,34,68,14.0,5.9,11.9
ZCTA5 99552,381,49,21,21,12.9,5.5,5.5
ZCTA5 99553,731,156,76,170,21.3,10.4,23.3
ZCTA5 99554,813,111,30,80,13.7,3.7,9.8
ZCTA5 99555,179,35,12,22,19.6,6.7,12.3
ZCTA5 99556,2599,319,208,346,12.3,8.0,13.3
ZCTA5 99557,700,95,31,89,13.6,4.4,12.7
ZCTA5 99558,105,6,5,9,5.7,4.8,8.6
ZCTA5 99559,7857,1285,367,815,16.4,4.7,10.4
ZCTA5 99561,483,81,22,31,16.8,4.6,6.4
ZCTA5 99563,1037,159,63,135,15.3,6.1,13.0
ZCTA5 99564,57,10,5,8,17.5,8.8,14.0
ZCTA5 99565,69,8,4,4,11.6,5.8,5.8
ZCTA5 99566,61,1,3,2,1.6,4.9,3.3
ZCTA5 99567,8843,1389,576,1408,15.7,6.5,15.9
ZCTA5 99568,365,31,27,83,8.5,7.4,22.7
